grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0106171875,20.0647625,2088.60272,0.536148457,0.0454128962,0.0309995928,0.0100054788,0.0246065821,0.0201068366,0.250466483,2.84337412e-05,1.1903041e-06,0.618372506,4.61868883e-15
0.0106289063,20.3405622,2120.36942,0.528878768,0.0449395121,0.0294291709,0.00965067931,0.0238834376,0.0204350957,0.252363447,2.62512237e-05,1.09886591e-06,0.619271307,4.4917372e-15
0.010640625,20.5878933,2149.01074,0.522525122,0.0445077382,0.0280191763,0.00931261586,0.0232694557,0.0206859203,0.254080682,2.44184677e-05,1.02620129e-06,0.620098967,4.55175574e-15
0.0106523437,20.8112891,2175.00655,0.516916152,0.0440949724,0.0267501807,0.00899484658,0.0227298102,0.0208785762,0.255663305,2.28504939e-05,9.67342777e-07,0.620864491,4.51815957e-15
0.0106640625,21.0139425,2198.69959,0.511931135,0.0436919261,0.0256040288,0.00869817607,0.0222456563,0.021025872,0.257136401,2.14929981e-05,9.18918529e-07,0.621575528,4.38292332e-15
0.0106875,21.3633483,2239.86122,0.503558306,0.0429056663,0.0236305522,0.00816807299,0.0214132755,0.0212139394,0.259793893,1.9286999e-05,8.45094019e-07,0.622854468,4.75089131e-15
0.0107109375,21.6648011,2275.59558,0.496551592,0.0421432988,0.0219606871,0.00770162981,0.0206881946,0.0213136851,0.262189151,1.75207551e-05,7.90126621e-07,0.623985042,4.50223209e-15
0.010734375,21.9284785,2307.02167,0.490580843,0.0414086725,0.020527664,0.00728881806,0.0200463182,0.0213508992,0.264366689,1.60804117e-05,7.47782233e-07,0.624994111,4.80522576e-15
0.0107578125,22.1616838,2334.94788,0.485418506,0.0407044187,0.0192835218,0.00692119534,0.0194716481,0.021343087,0.266358809,1.48883423e-05,7.14311964e-07,0.625901717,4.68776689e-15
0.01078125,22.369787,2359.97211,0.480902723,0.0400318091,0.0181930868,0.00659198647,0.0189527643,0.0213024951,0.26819013,1.38898579e-05,6.87343063e-07,0.626723151,4.59457802e-15
0.0108046875,22.5567358,2382.53689,0.47691703,0.0393911503,0.0172301471,0.00629584345,0.0184813475,0.0212379222,0.269879531,1.3045512e-05,6.65309926e-07,0.627470347,4.41423328e-15
0.010828125,22.7252203,2402.94829,0.473381174,0.0387821031,0.0163750563,0.00602867157,0.0180518613,0.0211557282,0.271440676,1.23268492e-05,6.47155447e-07,0.62815293,4.56860759e-15
0.010875,23.0103083,2437.73614,0.467516182,0.037658931,0.0149419472,0.00557319099,0.0173141033,0.0209572247,0.274193401,1.11978508e-05,6.199643e-07,0.629349384,4.68694699e-15
0.010921875,23.2527486,2467.46854,0.462641714,0.036634965,0.0137579007,0.00518836669,0.0166759091,0.0207334588,0.276616878,1.03288754e-05,6.00441492e-07,0.630381592,4.63985272e-15
0.01096875,23.461485,2493.17398,0.458525599,0.0357018883,0.0127659052,0.00486004225,0.0161177846,0.0204987714,0.278765334,9.64720368e-06,5.86366095e-07,0.631280041,4.48829672e-15
0.011015625,23.6428967,2515.58965,0.455007337,0.0348524359,0.0119260288,0.0045777787,0.0156256739,0.0202625187,0.28067906,9.1038927e-06,5.76279914e-07,0.632066823,4.6779065e-15
0.0110625,23.8013165,2535.2207,0.451978842,0.0340808887,0.0112101639,0.00433405115,0.0151900438,0.0200310254,0.282386419,8.66576162e-06,5.69182662e-07,0.632758173,4.6250566e-15
0.01115625,24.0534166,2566.67701,0.447241721,0.0327642783,0.0100906545,0.00394851918,0.0144836894,0.0196055246,0.285205703,8.03167836e-06,5.61354751e-07,0.633893038,4.67285979e-15
0.01125,24.2553827,2591.96922,0.443517697,0.0316560208,0.00922764619,0.00364642404,0.0139060424,0.0192195362,0.287528623,7.58030904e-06,5.58411127e-07,0.634807569,4.67437814e-15
0.0114375,24.5331279,2627.02471,0.438496531,0.0300100285,0.00807492338,0.00323825369,0.0130907479,0.01861233,0.290859047,7.02993987e-06,5.59571596e-07,0.63610708,4.72236658e-15
0.011625,24.7270464,2651.60089,0.43505768,0.0287981498,0.00730697382,0.00296246933,0.0125061251,0.018141365,0.293256375,6.69039313e-06,5.64142074e-07,0.637021287,4.69394159e-15
0.012,24.9397951,2678.76731,0.431346425,0.027373494,0.00648919771,0.00266692116,0.0118461618,0.0175727268,0.29598778,6.34954311e-06,5.72811034e-07,0.638056796,4.68183068e-15
0.01275,25.1036077,2699.80459,0.42853169,0.0262127166,0.00588242938,0.00244635011,0.0113232869,0.0171006346,0.298157242,6.10490274e-06,5.82006483e-07,0.638870654,4.7319628e-15
0.0135,25.167395,2708.02307,0.427445567,0.0257453649,0.00565207773,0.00236237935,0.011115757,0.016909165,0.299017609,6.01266131e-06,5.86134603e-07,0.639191048,4.72129929e-15
0.015,25.1983053,2712.02034,0.426921227,0.0255129055,0.00554076509,0.00232186309,0.011014217,0.0168141872,0.299440265,5.96822557e-06,5.88246646e-07,0.639349241,4.72585111e-15
0.018,25.2068101,2713.12256,0.426777183,0.0254480489,0.00551011039,0.00231071855,0.0109861595,0.0167877488,0.2995574,5.95601004e-06,5.88841102e-07,0.639393269,4.72356244e-15
0.024,25.2080651,2713.28529,0.426755935,0.0254384465,0.00550558649,0.00230907435,0.0109820143,0.0167838369,0.299574715,5.95420771e-06,5.88929286e-07,0.639399783,4.73102774e-15
0.03,25.2080651,2713.28529,0.426755935,0.0254384465,0.00550558649,0.00230907435,0.0109820143,0.0167838369,0.299574715,5.95420771e-06,5.88929286e-07,0.639399783,4.73102774e-15
